# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME

1 -4.371138828673793e-08 -4.3711398944878965e-08 1.0 -4.371139183945161e-08 3.06161710499314e-15 0.0 -25.0 1 test_000.png

2 0.0904536098241806 0.9108036160469055 -0.4008369445800781 -0.03980788215994835 -3.6683638095855713 -3.3605217933654785 -24.5 1 test_001.png

3 -0.006115955300629139 -0.04332524538040161 -0.9892346858978271 -0.1396431028842926 0.6119800806045532 6.9731974601745605 -24.0 1 test_002.png

4 0.16213610768318176 0.9330124855041504 0.3165035545825958 0.055001065135002136 5.189594745635986 -6.76890754699707 -23.5 1 test_003.png

5 0.12705127894878387 0.6298944354057312 -0.751092255115509 -0.15149731934070587 -9.648181915283203 1.706627607345581 -23.0 1 test_004.png

6 -0.10640463978052139 -0.46937620639801025 -0.8548729419708252 -0.19379448890686035 9.194610595703125 5.84885835647583 -22.5 1 test_005.png

7 0.24012866616249084 0.9618709683418274 -0.12703055143356323 -0.03171287849545479 -3.0826303958892822 -11.467230796813965 -22.0 1 test_006.png

8 -0.06207035109400749 -0.22896084189414978 0.9376115798950195 0.25418248772621155 -5.879952430725098 11.321491241455078 -21.5 1 test_007.png

9 0.22924473881721497 0.7867440581321716 0.5502488613128662 0.16033366322517395 12.74157428741455 -4.653202533721924 -21.0 1 test_008.png

10 0.24664148688316345 0.7936914563179016 -0.5310280919075012 -0.1650182008743286 -13.226541519165039 -5.459724426269531 -20.5 1 test_009.png

11 -0.06791847199201584 -0.2062036544084549 -0.9271512031555176 -0.3053814172744751 6.35768985748291 13.586013793945312 -20.0 1 test_010.png

12 0.3243687152862549 0.9337381720542908 0.14300377666950226 0.049677710980176926 4.682142734527588 -14.927409172058105 -19.5 1 test_011.png

13 0.17114993929862976 0.4690457582473755 -0.8139386177062988 -0.2969977557659149 -14.058018684387207 8.1469087600708 -19.0 1 test_012.png

14 0.22358790040016174 0.5853620767593384 0.7280314564704895 0.27808254957199097 16.422971725463867 3.610543966293335 -18.5 1 test_013.png

15 0.35308828949928284 0.8856409788131714 -0.2801653742790222 -0.11169660836458206 -9.97812271118164 -14.192852973937988 -18.0 1 test_014.png

